title,runtime,budget,Year,is_Nominated,Won,Animation,Comedy,Family,Adventure,Fantasy,Drama,Romance,Action,Crime,Thriller,History,Science,Fiction,Mystery,Horror,War,Foreign,Western,Documentary,Music,Biography,Sci-Fi,Film-Noir,Musical,Sport,month,Runtime,country,Metascore,imdbRating
Dead Man Walking,122,11000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Feb 1996,122 min,"UK, USA",80,7.5
Clueless,97,12000000,1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 Jul 1995,97 min,USA,68,6.8
Dead Presidents,119,10000000,1995,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Oct 1995,119 min,USA,N/A,6.9
Restoration,117,19000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Feb 1996,117 min,"USA, UK",66,6.6
Mortal Kombat,101,18000000,1995,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 Aug 1995,101 min,USA,58,5.8
To Die For,106,20000000,1995,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Oct 1995,106 min,"USA, UK, Canada",86,6.8
How To Make An American Quilt,116,10000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Oct 1995,117 min,USA,N/A,6.3
Se7en,127,33000000,1995,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22 Sep 1995,127 min,USA,65,8.6
Pocahontas,81,55000000,1995,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Jun 1995,81 min,USA,58,6.7
The Usual Suspects,106,6000000,1995,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 Aug 1995,106 min,"USA, Germany",77,8.5
Mighty Aphrodite,95,15000000,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 Nov 1995,95 min,USA,59,7.0
The Indian in the Cupboard,96,45000000,1995,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Jul 1995,96 min,USA,58,6.0
Eye for an Eye,101,20000000,1996,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Jan 1996,101 min,USA,N/A,6.2
Bio-Dome,88,15000000,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Jan 1996,88 min,USA,1,4.5
Friday,91,3500000,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 Apr 1995,91 min,USA,54,7.3
From Dusk Till Dawn,108,19000000,1996,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19 Jan 1996,108 min,"USA, Mexico",48,7.2
Fair Game,91,50000000,1995,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 Dec 2010,108 min,"USA, United Arab Emirates",69,6.8
Big Bully,90,15000000,1996,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 Jan 1996,90 min,USA,N/A,4.7
Screamers,108,20000000,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,26 Jan 1996,108 min,"Canada, USA, UK, Japan",N/A,6.4
The Juror,118,44000000,1996,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Feb 1996,118 min,USA,N/A,5.7
Things to Do in Denver When You're Dead,116,8000000,1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Dec 1995,115 min,USA,46,6.8
Antonia's Line,102,900000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Feb 1996,102 min,"Netherlands, Belgium, UK, France",N/A,7.4
White Squall,129,38000000,1996,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Feb 1996,129 min,"USA, UK",53,6.6
Dunston Checks In,88,16000000,1996,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Jan 1996,88 min,USA,54,5.4
Nick of Time,90,8169363,1995,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Nov 1995,90 min,USA,N/A,6.3
Mary Reilly,104,47000000,1996,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23 Feb 1996,108 min,"USA, UK",44,5.8
Vampire in Brooklyn,100,14000000,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27 Oct 1995,100 min,USA,27,4.6
Broken Arrow,108,50000000,1996,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Feb 1996,108 min,USA,61,6.0
La Haine,98,3000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Feb 1996,98 min,France,N/A,8.1
Bottle Rocket,91,7000000,1996,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Feb 1996,91 min,USA,66,7.0
Unforgettable,106,18000000,1996,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20 Sep 2011,60 min,USA,N/A,6.7
Happy Gilmore,92,12000000,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 Feb 1996,92 min,USA,31,7.0
The Bridges of Madison County,135,24000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Jun 1995,135 min,USA,66,7.6
Braveheart,177,72000000,1995,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24 May 1995,178 min,USA,68,8.3
Taxi Driver,114,1300000,1976,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Feb 1976,114 min,USA,94,8.3
Rumble in the Bronx,91,7500000,1995,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Feb 1996,87 min,Hong Kong,61,6.8
Before and After,108,35000000,1996,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Feb 1996,108 min,USA,N/A,6.1
Happiness Is in the Field,106,13365000,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31 Jan 1997,106 min,France,N/A,7.0
Steal Big Steal Little,113,25000000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29 Sep 1995,135 min,USA,N/A,4.7
Boomerang,117,40000000,1992,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Jul 1992,117 min,USA,45,5.5
Flirting with Disaster,92,7000000,1996,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Apr 1996,92 min,USA,81,6.7
Jade,95,50000000,1995,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13 Oct 1995,95 min,USA,N/A,5.3
Up Close & Personal,119,60000000,1996,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,USA,N/A,N/A
The Birdcage,117,31000000,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08 Mar 1996,117 min,USA,72,7.1
Bad Boys,118,19000000,1995,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Apr 1995,119 min,USA,41,6.9
An Awfully Big Adventure,113,4000000,1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Jul 1995,112 min,UK,N/A,6.0
Apollo 13,140,52000000,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 Jun 1995,140 min,USA,77,7.6
Rob Roy,139,28000000,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Apr 1995,139 min,UK,55,6.9
Batman Forever,121,100000000,1995,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 Jun 1995,121 min,"USA, UK",51,5.4
Blue in the Face,83,2000000,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 Oct 1995,83 min,USA,54,6.7
Canadian Bacon,91,11000000,1995,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Sep 1995,91 min,"USA, Canada",N/A,6.0
Casper,100,50000000,1995,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 May 1995,100 min,USA,49,6.1
Clockers,128,25000000,1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13 Sep 1995,128 min,USA,71,6.9
Congo,109,50000000,1995,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,09 Jun 1995,109 min,USA,22,5.3
Crimson Tide,116,53000000,1995,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 May 1995,116 min,USA,66,7.3
Desperado,104,7000000,1995,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Aug 1995,104 min,"USA, Mexico",55,7.2
Devil in a Blue Dress,102,27000000,1995,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29 Sep 1995,102 min,USA,78,6.7
Die Hard: With a Vengeance,128,90000000,1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 May 1995,128 min,USA,58,7.6
First Knight,134,55000000,1995,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Jul 1995,134 min,"USA, UK",N/A,6.0
Hackers,107,20000000,1995,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 Sep 1995,105 min,USA,46,6.3
Johnny Mnemonic,97,25000000,1995,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26 May 1995,96 min,"Canada, USA",N/A,5.7
Judge Dredd,96,90000000,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30 Jun 1995,96 min,USA,N/A,5.6
Kids,91,1500000,1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Sep 1995,91 min,USA,63,7.1
Living in Oblivion,89,500000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Jul 1995,90 min,USA,81,7.5
Mallrats,94,6000000,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 Oct 1995,94 min,USA,41,7.1
Mighty Morphin Power Rangers: The Movie,92,15000000,1995,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30 Jun 1995,95 min,"USA, Japan, Australia, New Zealand",40,5.2
Mute Witness,95,2,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15 Sep 1995,95 min,"Russia, Germany",N/A,6.7
The Net,114,22000000,1995,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28 Jul 1995,114 min,USA,51,5.9
Party Girl,94,150000,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Jun 1995,94 min,USA,55,6.6
The Prophecy,98,8,1995,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,01 Sep 1995,98 min,USA,44,6.5
The Scarlet Letter,135,50000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 Oct 1995,135 min,USA,N/A,5.3
Showgirls,128,45000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Sep 1995,128 min,"France, USA",16,4.8
Smoke,112,7000000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Jun 1995,112 min,"Germany, Japan, USA",70,7.4
Species,108,35000000,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,07 Jul 1995,108 min,USA,49,5.8
Strange Days,145,42000000,1995,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13 Oct 1995,145 min,USA,66,7.2
The Tie That Binds,99,14000000,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08 Sep 1995,99 min,USA,N/A,5.0
Under Siege 2: Dark Territory,100,60000000,1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Jul 1995,100 min,USA,52,5.5
A Walk in the Clouds,103,20000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 Aug 1995,102 min,"USA, Mexico",54,6.7
Waterworld,135,175000000,1995,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28 Jul 1995,135 min,USA,56,6.2
White Man's Burden,89,8000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Dec 1995,89 min,"France, USA",N/A,5.3
Wild Bill,98,30000000,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23 Mar 2012,98 min,UK,N/A,7.2
Burnt by the Sun,135,2800000,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Apr 1995,135 min,"Russia, France",N/A,7.9
Before Sunrise,105,2500000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27 Jan 1995,101 min,"USA, Austria, Switzerland",77,8.1
Billy Madison,89,10000000,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 Feb 1995,89 min,USA,16,6.4
Boys on the Side,115,21000000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 Feb 1995,115 min,"USA, France",61,6.5
Clerks,92,27000,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Nov 1994,92 min,USA,70,7.7
Don Juan DeMarco,97,25000000,1994,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Apr 1995,97 min,USA,63,6.7
Disclosure,123,55000000,1994,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,09 Dec 1994,128 min,USA,58,6.1
Drop Zone,101,45000000,1994,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Dec 1994,101 min,USA,N/A,5.6
Dumb and Dumber,107,16000000,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 Dec 1994,107 min,USA,41,7.3
Ed Wood,127,18000000,1994,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Oct 1994,127 min,USA,70,7.8
Hideaway,103,15000000,1995,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 Mar 1995,106 min,USA,N/A,5.3
Hoop Dreams,171,700000,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14 Oct 1994,170 min,USA,98,8.3
Heavenly Creatures,99,5000000,1994,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Oct 1994,99 min,"New Zealand, Germany",N/A,7.3
Houseguest,113,10500000,1995,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Jan 1995,113 min,USA,N/A,6.0
Immortal Beloved,121,120,1994,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27 Jan 1995,121 min,"UK, USA",N/A,7.5
I.Q.,100,25000000,1994,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Dec 1994,100 min,USA,66,6.2
Interview with the Vampire,123,60000000,1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11 Nov 1994,123 min,USA,59,7.6
Jefferson in Paris,139,14000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31 Mar 1995,139 min,"USA, France",45,5.7
Junior,109,60000000,1994,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Nov 1994,109 min,USA,59,4.6
Kiss of Death,101,40000000,1995,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Apr 1995,101 min,USA,N/A,5.9
Star Wars,121,11000000,1977,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25 May 1977,121 min,USA,90,8.6
Little Women,115,18000000,1994,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Dec 2019,135 min,USA,91,7.9
A Little Princess,97,17000000,1995,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 May 1995,97 min,USA,83,7.7
L'Enfer,100,10000000,1994,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Nov 1994,102 min,France,N/A,7.1
Like Water for Chocolate,105,2000000,1992,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28 May 1993,105 min,Mexico,86,7.1
Legends of the Fall,133,30000000,1994,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13 Jan 1995,133 min,USA,45,7.6
Love Affair,108,60000000,1994,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Oct 1994,108 min,USA,55,6.0
Losing Isaiah,106,17000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 Mar 1995,111 min,USA,N/A,6.5
Mary Shelley's Frankenstein,123,45000000,1994,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,04 Nov 1994,123 min,"USA, Japan, UK",N/A,6.4
Mixed Nuts,97,15000000,1994,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Dec 1994,97 min,USA,14,5.5
Miami Rhapsody,95,6,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27 Jan 1995,95 min,USA,N/A,5.3
My Family,128,5500000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 Sep 2000,50 min,UK,N/A,7.5
Nell,112,31000000,1994,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Dec 1994,112 min,USA,N/A,6.5
Beyond Bedlam,89,4800000,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22 Apr 1994,89 min,UK,N/A,3.4
Natural Born Killers,119,34000000,1994,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 Aug 1994,118 min,USA,74,7.3
Outbreak,127,50000000,1995,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10 Mar 1995,127 min,USA,64,6.6
Leon: The Professional,110,16000000,1994,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 Nov 1994,110 min,"France, USA",64,8.5
The Perez Family,113,11000000,1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 May 1995,113 min,USA,N/A,6.0
Pulp Fiction,154,8000000,1994,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Oct 1994,154 min,USA,94,8.9
Pushing Hands,105,400000,1992,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Dec 1991,105 min,"Taiwan, USA",N/A,7.3
The Quick and the Dead,107,32000000,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10 Feb 1995,107 min,"Japan, USA",49,6.4
