title,budget,Year,is_Nominated,Won,Animation,Comedy,Family,Adventure,Fantasy,Drama,Romance,Action,Crime,Thriller,History,Science,Fiction,Mystery,Horror,War,Foreign,Western,Documentary,Music,Biography,Sci-Fi,Film-Noir,Musical,Sport,month,Runtime,country,Metascore,imdbRating
Dead Presidents,10000000,1995,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Oct 1995,119 min,USA,,6.9
Restoration,19000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Feb 1996,117 min,"USA, UK",66.0,6.6
Mortal Kombat,18000000,1995,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 Aug 1995,101 min,USA,58.0,5.8
To Die For,20000000,1995,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Oct 1995,106 min,"USA, UK, Canada",86.0,6.8
How To Make An American Quilt,10000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Oct 1995,117 min,USA,,6.3
Se7en,33000000,1995,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22 Sep 1995,127 min,USA,65.0,8.6
Pocahontas,55000000,1995,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Jun 1995,81 min,USA,58.0,6.7
The Usual Suspects,6000000,1995,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 Aug 1995,106 min,"USA, Germany",77.0,8.5
Mighty Aphrodite,15000000,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 Nov 1995,95 min,USA,59.0,7.0
The Indian in the Cupboard,45000000,1995,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Jul 1995,96 min,USA,58.0,6.0
Eye for an Eye,20000000,1996,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Jan 1996,101 min,USA,,6.2
Bio-Dome,15000000,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Jan 1996,88 min,USA,1.0,4.5
Friday,3500000,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 Apr 1995,91 min,USA,54.0,7.3
From Dusk Till Dawn,19000000,1996,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19 Jan 1996,108 min,"USA, Mexico",48.0,7.2
Fair Game,50000000,1995,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 Dec 2010,108 min,"USA, United Arab Emirates",69.0,6.8
Big Bully,15000000,1996,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 Jan 1996,90 min,USA,,4.7
Screamers,20000000,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,26 Jan 1996,108 min,"Canada, USA, UK, Japan",,6.4
The Juror,44000000,1996,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Feb 1996,118 min,USA,,5.7
Things to Do in Denver When You're Dead,8000000,1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Dec 1995,115 min,USA,46.0,6.8
Antonia's Line,900000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Feb 1996,102 min,"Netherlands, Belgium, UK, France",,7.4
White Squall,38000000,1996,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Feb 1996,129 min,"USA, UK",53.0,6.6
Dunston Checks In,16000000,1996,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Jan 1996,88 min,USA,54.0,5.4
Nick of Time,8169363,1995,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Nov 1995,90 min,USA,,6.3
Mary Reilly,47000000,1996,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23 Feb 1996,108 min,"USA, UK",44.0,5.8
Vampire in Brooklyn,14000000,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27 Oct 1995,100 min,USA,27.0,4.6
Broken Arrow,50000000,1996,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Feb 1996,108 min,USA,61.0,6.0
La Haine,3000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Feb 1996,98 min,France,,8.1
Bottle Rocket,7000000,1996,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Feb 1996,91 min,USA,66.0,7.0
Unforgettable,18000000,1996,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20 Sep 2011,60 min,USA,,6.7
Happy Gilmore,12000000,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 Feb 1996,92 min,USA,31.0,7.0
The Bridges of Madison County,24000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02 Jun 1995,135 min,USA,66.0,7.6
Braveheart,72000000,1995,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24 May 1995,178 min,USA,68.0,8.3
Taxi Driver,1300000,1976,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Feb 1976,114 min,USA,94.0,8.3
Rumble in the Bronx,7500000,1995,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Feb 1996,87 min,Hong Kong,61.0,6.8
Before and After,35000000,1996,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Feb 1996,108 min,USA,,6.1
Happiness Is in the Field,13365000,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31 Jan 1997,106 min,France,,7.0
Steal Big Steal Little,25000000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29 Sep 1995,135 min,USA,,4.7
Boomerang,40000000,1992,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Jul 1992,117 min,USA,45.0,5.5
Flirting with Disaster,7000000,1996,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 Apr 1996,92 min,USA,81.0,6.7
Jade,50000000,1995,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13 Oct 1995,95 min,USA,,5.3
Up Close & Personal,60000000,1996,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,USA,,
The Birdcage,31000000,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08 Mar 1996,117 min,USA,72.0,7.1
Bad Boys,19000000,1995,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Apr 1995,119 min,USA,41.0,6.9
An Awfully Big Adventure,4000000,1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Jul 1995,112 min,UK,,6.0
Apollo 13,52000000,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 Jun 1995,140 min,USA,77.0,7.6
Rob Roy,28000000,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Apr 1995,139 min,UK,55.0,6.9
Batman Forever,100000000,1995,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 Jun 1995,121 min,"USA, UK",51.0,5.4
Blue in the Face,2000000,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 Oct 1995,83 min,USA,54.0,6.7
Canadian Bacon,11000000,1995,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Sep 1995,91 min,"USA, Canada",,6.0
Casper,50000000,1995,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 May 1995,100 min,USA,49.0,6.1
Clockers,25000000,1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13 Sep 1995,128 min,USA,71.0,6.9
Congo,50000000,1995,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,09 Jun 1995,109 min,USA,22.0,5.3
Crimson Tide,53000000,1995,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 May 1995,116 min,USA,66.0,7.3
Desperado,7000000,1995,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Aug 1995,104 min,"USA, Mexico",55.0,7.2
Devil in a Blue Dress,27000000,1995,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29 Sep 1995,102 min,USA,78.0,6.7
Die Hard: With a Vengeance,90000000,1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 May 1995,128 min,USA,58.0,7.6
First Knight,55000000,1995,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Jul 1995,134 min,"USA, UK",,6.0
Hackers,20000000,1995,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 Sep 1995,105 min,USA,46.0,6.3
Johnny Mnemonic,25000000,1995,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26 May 1995,96 min,"Canada, USA",,5.7
Judge Dredd,90000000,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30 Jun 1995,96 min,USA,,5.6
Kids,1500000,1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Sep 1995,91 min,USA,63.0,7.1
Living in Oblivion,500000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Jul 1995,90 min,USA,81.0,7.5
Mallrats,6000000,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 Oct 1995,94 min,USA,41.0,7.1
Mighty Morphin Power Rangers: The Movie,15000000,1995,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30 Jun 1995,95 min,"USA, Japan, Australia, New Zealand",40.0,5.2
Mute Witness,2,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15 Sep 1995,95 min,"Russia, Germany",,6.7
The Net,22000000,1995,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28 Jul 1995,114 min,USA,51.0,5.9
Party Girl,150000,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Jun 1995,94 min,USA,55.0,6.6
The Prophecy,8,1995,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,01 Sep 1995,98 min,USA,44.0,6.5
The Scarlet Letter,50000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 Oct 1995,135 min,USA,,5.3
Showgirls,45000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 Sep 1995,128 min,"France, USA",16.0,4.8
Smoke,7000000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Jun 1995,112 min,"Germany, Japan, USA",70.0,7.4
Species,35000000,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,07 Jul 1995,108 min,USA,49.0,5.8
Strange Days,42000000,1995,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13 Oct 1995,145 min,USA,66.0,7.2
The Tie That Binds,14000000,1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08 Sep 1995,99 min,USA,,5.0
Under Siege 2: Dark Territory,60000000,1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Jul 1995,100 min,USA,52.0,5.5
A Walk in the Clouds,20000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 Aug 1995,102 min,"USA, Mexico",54.0,6.7
Waterworld,175000000,1995,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28 Jul 1995,135 min,USA,56.0,6.2
White Man's Burden,8000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Dec 1995,89 min,"France, USA",,5.3
Wild Bill,30000000,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23 Mar 2012,98 min,UK,,7.2
Burnt by the Sun,2800000,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Apr 1995,135 min,"Russia, France",,7.9
Before Sunrise,2500000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27 Jan 1995,101 min,"USA, Austria, Switzerland",77.0,8.1
Billy Madison,10000000,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 Feb 1995,89 min,USA,16.0,6.4
Boys on the Side,21000000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 Feb 1995,115 min,"USA, France",61.0,6.5
Clerks,27000,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Nov 1994,92 min,USA,70.0,7.7
Don Juan DeMarco,25000000,1994,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Apr 1995,97 min,USA,63.0,6.7
Disclosure,55000000,1994,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,09 Dec 1994,128 min,USA,58.0,6.1
Drop Zone,45000000,1994,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09 Dec 1994,101 min,USA,,5.6
Dumb and Dumber,16000000,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 Dec 1994,107 min,USA,41.0,7.3
Ed Wood,18000000,1994,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Oct 1994,127 min,USA,70.0,7.8
Hideaway,15000000,1995,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 Mar 1995,106 min,USA,,5.3
Hoop Dreams,700000,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14 Oct 1994,170 min,USA,98.0,8.3
Heavenly Creatures,5000000,1994,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Oct 1994,99 min,"New Zealand, Germany",,7.3
Houseguest,10500000,1995,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06 Jan 1995,113 min,USA,,6.0
Immortal Beloved,120,1994,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27 Jan 1995,121 min,"UK, USA",,7.5
I.Q.,25000000,1994,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Dec 1994,100 min,USA,66.0,6.2
Interview with the Vampire,60000000,1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11 Nov 1994,123 min,USA,59.0,7.6
Jefferson in Paris,14000000,1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31 Mar 1995,139 min,"USA, France",45.0,5.7
Junior,60000000,1994,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Nov 1994,109 min,USA,59.0,4.6
Kiss of Death,40000000,1995,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Apr 1995,101 min,USA,,5.9
Star Wars,11000000,1977,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25 May 1977,121 min,USA,90.0,8.6
Little Women,18000000,1994,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 Dec 2019,135 min,USA,91.0,7.9
A Little Princess,17000000,1995,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 May 1995,97 min,USA,83.0,7.7
L'Enfer,10000000,1994,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 Nov 1994,102 min,France,,7.1
Like Water for Chocolate,2000000,1992,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28 May 1993,105 min,Mexico,86.0,7.1
Legends of the Fall,30000000,1994,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13 Jan 1995,133 min,USA,45.0,7.6
Love Affair,60000000,1994,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Oct 1994,108 min,USA,55.0,6.0
Losing Isaiah,17000000,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 Mar 1995,111 min,USA,,6.5
Mary Shelley's Frankenstein,45000000,1994,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,04 Nov 1994,123 min,"USA, Japan, UK",,6.4
Mixed Nuts,15000000,1994,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 Dec 1994,97 min,USA,14.0,5.5
Miami Rhapsody,6,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27 Jan 1995,95 min,USA,,5.3
My Family,5500000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 Sep 2000,50 min,UK,,7.5
Nell,31000000,1994,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 Dec 1994,112 min,USA,,6.5
Beyond Bedlam,4800000,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22 Apr 1994,89 min,UK,,3.4
Natural Born Killers,34000000,1994,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 Aug 1994,118 min,USA,74.0,7.3
Outbreak,50000000,1995,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10 Mar 1995,127 min,USA,64.0,6.6
Leon: The Professional,16000000,1994,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 Nov 1994,110 min,"France, USA",64.0,8.5
The Perez Family,11000000,1995,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 May 1995,113 min,USA,,6.0
Pulp Fiction,8000000,1994,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 Oct 1994,154 min,USA,94.0,8.9
Pushing Hands,400000,1992,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07 Dec 1991,105 min,"Taiwan, USA",,7.3
The Quick and the Dead,32000000,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10 Feb 1995,107 min,"Japan, USA",49.0,6.4
Roommates,22000000,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 Mar 1995,108 min,USA,,6.4
Prêt-à-Porter,15000000,1994,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28 Jun 1994,30 min,Spain,,3.9
The Swan Princess,35000000,1994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 Nov 1994,90 min,USA,,6.4
