Name,Year of release,Rating,Genre,imdb Url,votes,,
The Wolf of Wall Street,2013,8.2,"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt0993846/?ref_=adv_li_tt,"1,120,319",,
,,,,,,,
Dunkirk,2017,7.9,"
Action, Drama, History            ",http://www.imdb.com/title/tt5013056/?ref_=adv_li_tt,"519,794",,
,,,,,,,
The Green Mile,1999,8.6,"
Crime, Drama, Fantasy            ",http://www.imdb.com/title/tt0120689/?ref_=adv_li_tt,"1,096,282",,
,,,,,,,
The Godfather: Part II,1974,9,"
Crime, Drama            ",http://www.imdb.com/title/tt0071562/?ref_=adv_li_tt,"1,084,343",,
,,,,,,,
Forrest Gump,1994,8.8,"
Drama, Romance            ",http://www.imdb.com/title/tt0109830/?ref_=adv_li_tt,"1,733,494",,
,,,,,,,
Call Me by Your Name,2017,7.9,"
Drama, Romance            ",http://www.imdb.com/title/tt5726616/?ref_=adv_li_tt,"192,869",,
,,,,,,,
The Silence of the Lambs,1991,8.6,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0102926/?ref_=adv_li_tt,"1,217,367",,
,,,,,,,
Gladiator,2000,8.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt0172495/?ref_=adv_li_tt,"1,292,635",,
,,,,,,,
Raiders of the Lost Ark,1981,8.4,"
Action, Adventure            ",http://www.imdb.com/title/tt0082971/?ref_=adv_li_tt,"856,359",,
,,,,,,,
Goodfellas,1990,8.7,"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt0099685/?ref_=adv_li_tt,"978,154",,
,,,,,,,
Schindler's List,1993,8.9,"
Biography, Drama, History            ",http://www.imdb.com/title/tt0108052/?ref_=adv_li_tt,"1,168,420",,
,,,,,,,
BlacKkKlansman,2018,7.5,"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt7349662/?ref_=adv_li_tt,"193,495",,
,,,,,,,
Apocalypse Now,1979,8.4,"
Drama, Mystery, War            ",http://www.imdb.com/title/tt0078788/?ref_=adv_li_tt,"583,417",,
,,,,,,,
The Departed,2006,8.5,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0407887/?ref_=adv_li_tt,"1,145,967",,
,,,,,,,
Avatar,2009,7.8,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0499549/?ref_=adv_li_tt,"1,093,629",,
,,,,,,,
Star Wars,1977,8.6,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0076759/?ref_=adv_li_tt,"1,193,332",,
,,,,,,,
The Social Network,2010,7.7,"
Biography, Drama            ",http://www.imdb.com/title/tt1285016/?ref_=adv_li_tt,"601,439",,
,,,,,,,
The Grand Budapest Hotel,2014,8.1,"
Adventure, Comedy, Crime            ",http://www.imdb.com/title/tt2278388/?ref_=adv_li_tt,"678,810",,
,,,,,,,
Taxi Driver,1976,8.3,"
Crime, Drama            ",http://www.imdb.com/title/tt0075314/?ref_=adv_li_tt,"693,102",,
,,,,,,,
Black Panther,2018,7.3,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1825683/?ref_=adv_li_tt,"583,710",,
,,,,,,,
Bohemian Rhapsody,2018,8,"
Biography, Drama, Music            ",http://www.imdb.com/title/tt1727824/?ref_=adv_li_tt,"425,463",,
,,,,,,,
Green Book,2018,8.2,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt6966692/?ref_=adv_li_tt,"326,405",,
,,,,,,,
Jaws,1975,8,"
Adventure, Thriller            ",http://www.imdb.com/title/tt0073195/?ref_=adv_li_tt,"529,872",,
,,,,,,,
Casablanca,1942,8.5,"
Drama, Romance, War            ",http://www.imdb.com/title/tt0034583/?ref_=adv_li_tt,"504,126",,
,,,,,,,
The Revenant,2015,8,"
Action, Adventure, Biography            ",http://www.imdb.com/title/tt1663202/?ref_=adv_li_tt,"675,818",,
,,,,,,,
The Lord of the Rings: The Return of the King,2003,8.9,"
Adventure, Drama, Fantasy            ",http://www.imdb.com/title/tt0167260/?ref_=adv_li_tt,"1,588,164",,
,,,,,,,
No Country for Old Men,2007,8.1,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0477348/?ref_=adv_li_tt,"818,855",,
,,,,,,,
The Curious Case of Benjamin Button,2008,7.8,"
Drama, Fantasy, Romance            ",http://www.imdb.com/title/tt0421715/?ref_=adv_li_tt,"569,925",,
,,,,,,,
Get Out,2017,7.7,"
Horror, Mystery, Thriller            ",http://www.imdb.com/title/tt5052448/?ref_=adv_li_tt,"462,037",,
,,,,,,,
Room,2015,8.1,"
Drama, Thriller            ",http://www.imdb.com/title/tt3170832/?ref_=adv_li_tt,"350,154",,
,,,,,,,
Marriage Story,2019,8,"
Comedy, Drama, Romance            ",http://www.imdb.com/title/tt7653254/?ref_=adv_li_tt,"215,546",,
,,,,,,,
Lady Bird,2017,7.4,"
Comedy, Drama            ",http://www.imdb.com/title/tt4925292/?ref_=adv_li_tt,"220,354",,
,,,,,,,
Good Will Hunting,1997,8.3,"
Drama, Romance            ",http://www.imdb.com/title/tt0119217/?ref_=adv_li_tt,"826,303",,
,,,,,,,
Arrival,2016,7.9,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt2543164/?ref_=adv_li_tt,"566,469",,
,,,,,,,
The Martian,2015,8,"
Adventure, Drama, Sci-Fi            ",http://www.imdb.com/title/tt3659388/?ref_=adv_li_tt,"731,730",,
,,,,,,,
American Beauty,1999,8.3,"
Drama            ",http://www.imdb.com/title/tt0169547/?ref_=adv_li_tt,"1,039,850",,
,,,,,,,
The Best Years of Our Lives,1946,8,"
Drama, Romance, War            ",http://www.imdb.com/title/tt0036868/?ref_=adv_li_tt,"55,765",,
,,,,,,,
A Clockwork Orange,1971,8.3,"
Crime, Drama, Sci-Fi            ",http://www.imdb.com/title/tt0066921/?ref_=adv_li_tt,"732,237",,
,,,,,,,
Whiplash,2014,8.5,"
Drama, Music            ",http://www.imdb.com/title/tt2582802/?ref_=adv_li_tt,"678,977",,
,,,,,,,
Her,2013,8,"
Drama, Romance, Sci-Fi            ",http://www.imdb.com/title/tt1798709/?ref_=adv_li_tt,"515,125",,
,,,,,,,
La La Land,2016,8,"
Comedy, Drama, Music            ",http://www.imdb.com/title/tt3783958/?ref_=adv_li_tt,"479,510",,
,,,,,,,
12 Angry Men,1957,8.9,"
Crime, Drama            ",http://www.imdb.com/title/tt0050083/?ref_=adv_li_tt,"658,156",,
,,,,,,,
The Godfather: Part III,1990,7.6,"
Crime, Drama            ",http://www.imdb.com/title/tt0099674/?ref_=adv_li_tt,"346,149",,
,,,,,,,
Braveheart,1995,8.3,"
Biography, Drama, History            ",http://www.imdb.com/title/tt0112573/?ref_=adv_li_tt,"933,997",,
,,,,,,,
The Lord of the Rings: The Two Towers,2002,8.7,"
Adventure, Drama, Fantasy            ",http://www.imdb.com/title/tt0167261/?ref_=adv_li_tt,"1,434,873",,
,,,,,,,
A Star Is Born,2018,7.7,"
Drama, Music, Romance            ",http://www.imdb.com/title/tt1517451/?ref_=adv_li_tt,"310,101",,
,,,,,,,
There Will Be Blood,2007,8.2,"
Drama            ",http://www.imdb.com/title/tt0469494/?ref_=adv_li_tt,"495,828",,
,,,,,,,
"Three Billboards Outside Ebbing, Missouri",2017,8.2,"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt5027774/?ref_=adv_li_tt,"401,125",,
,,,,,,,
Apollo 13,1995,7.6,"
Adventure, Drama, History            ",http://www.imdb.com/title/tt0112384/?ref_=adv_li_tt,"259,347",,
,,,,,,,
One Flew Over the Cuckoo's Nest,1975,8.7,"
Drama            ",http://www.imdb.com/title/tt0073486/?ref_=adv_li_tt,"881,651",,
,,,,,,,
The Big Short,2015,7.8,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt1596363/?ref_=adv_li_tt,"342,336",,
,,,,,,,
The Favourite,2018,7.5,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt5083738/?ref_=adv_li_tt,"159,088",,
,,,,,,,
Hacksaw Ridge,2016,8.1,"
Biography, Drama, History            ",http://www.imdb.com/title/tt2119532/?ref_=adv_li_tt,"410,066",,
,,,,,,,
The Help,2011,8.1,"
Drama            ",http://www.imdb.com/title/tt1454029/?ref_=adv_li_tt,"412,989",,
,,,,,,,
The Pianist,2002,8.5,"
Biography, Drama, Music            ",http://www.imdb.com/title/tt0253474/?ref_=adv_li_tt,"697,999",,
,,,,,,,
The Sixth Sense,1999,8.1,"
Drama, Mystery, Thriller            ",http://www.imdb.com/title/tt0167404/?ref_=adv_li_tt,"886,105",,
,,,,,,,
Moonlight,2016,7.4,"
Drama            ",http://www.imdb.com/title/tt4975722/?ref_=adv_li_tt,"257,623",,
,,,,,,,
Spotlight,2015,8.1,"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt1895587/?ref_=adv_li_tt,"399,641",,
,,,,,,,
The Shape of Water,2017,7.3,"
Adventure, Drama, Fantasy            ",http://www.imdb.com/title/tt5580390/?ref_=adv_li_tt,"351,472",,
,,,,,,,
Citizen Kane,1941,8.3,"
Drama, Mystery            ",http://www.imdb.com/title/tt0033467/?ref_=adv_li_tt,"384,524",,
,,,,,,,
American Sniper,2014,7.3,"
Action, Biography, Drama            ",http://www.imdb.com/title/tt2179136/?ref_=adv_li_tt,"424,700",,
,,,,,,,
The Sound of Music,1965,8,"
Biography, Drama, Family            ",http://www.imdb.com/title/tt0059742/?ref_=adv_li_tt,"196,462",,
,,,,,,,
La vita è bella,1997,8.6,"
Comedy, Drama, Romance            ",http://www.imdb.com/title/tt0118799/?ref_=adv_li_tt,"597,814",,
,,,,,,,
Mystic River,2003,7.9,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0327056/?ref_=adv_li_tt,"407,675",,
,,,,,,,
The Deer Hunter,1978,8.1,"
Drama, War            ",http://www.imdb.com/title/tt0077416/?ref_=adv_li_tt,"300,921",,
,,,,,,,
Darkest Hour,2017,7.4,"
Biography, Drama, Family            ",http://www.imdb.com/title/tt4555426/?ref_=adv_li_tt,"161,857",,
,,,,,,,
Fargo,1996,8.1,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0116282/?ref_=adv_li_tt,"594,354",,
,,,,,,,
Platoon,1986,8.1,"
Drama, War            ",http://www.imdb.com/title/tt0091763/?ref_=adv_li_tt,"369,761",,
,,,,,,,
The Imitation Game,2014,8,"
Biography, Drama, Thriller            ",http://www.imdb.com/title/tt2084970/?ref_=adv_li_tt,"659,439",,
,,,,,,,
Slumdog Millionaire,2008,8,"
Drama, Romance            ",http://www.imdb.com/title/tt1010048/?ref_=adv_li_tt,"780,703",,
,,,,,,,
The Post,2017,7.2,"
Biography, Drama, History            ",http://www.imdb.com/title/tt6294822/?ref_=adv_li_tt,"126,605",,
,,,,,,,
Unforgiven,1992,8.2,"
Drama, Western            ",http://www.imdb.com/title/tt0105695/?ref_=adv_li_tt,"362,409",,
,,,,,,,
Les Misérables,2012,7.6,"
Drama, History, Musical            ",http://www.imdb.com/title/tt1707386/?ref_=adv_li_tt,"300,013",,
,,,,,,,
Atonement,2007,7.8,"
Drama, Mystery, Romance            ",http://www.imdb.com/title/tt0783233/?ref_=adv_li_tt,"240,592",,
,,,,,,,
The Sand Pebbles,1966,7.6,"
Adventure, Drama, Romance            ",http://www.imdb.com/title/tt0060934/?ref_=adv_li_tt,"12,995",,
,,,,,,,
Silver Linings Playbook,2012,7.7,"
Comedy, Drama, Romance            ",http://www.imdb.com/title/tt1045658/?ref_=adv_li_tt,"646,147",,
,,,,,,,
12 Years a Slave,2013,8.1,"
Biography, Drama, History            ",http://www.imdb.com/title/tt2024544/?ref_=adv_li_tt,"616,610",,
,,,,,,,
A Beautiful Mind,2001,8.2,"
Biography, Drama            ",http://www.imdb.com/title/tt0268978/?ref_=adv_li_tt,"818,652",,
,,,,,,,
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,"
Comedy, Drama            ",http://www.imdb.com/title/tt2562232/?ref_=adv_li_tt,"559,256",,
,,,,,,,
Gone with the Wind,1939,8.1,"
Drama, History, Romance            ",http://www.imdb.com/title/tt0031381/?ref_=adv_li_tt,"279,089",,
,,,,,,,
Erin Brockovich,2000,7.3,"
Biography, Drama            ",http://www.imdb.com/title/tt0195685/?ref_=adv_li_tt,"168,657",,
,,,,,,,
Black Swan,2010,8,"
Drama, Thriller            ",http://www.imdb.com/title/tt0947798/?ref_=adv_li_tt,"680,386",,
,,,,,,,
The Wizard of Oz,1939,8,"
Adventure, Family, Fantasy            ",http://www.imdb.com/title/tt0032138/?ref_=adv_li_tt,"364,152",,
,,,,,,,
Moneyball,2011,7.6,"
Biography, Drama, Sport            ",http://www.imdb.com/title/tt1210166/?ref_=adv_li_tt,"348,528",,
,,,,,,,
West Side Story,1961,7.5,"
Crime, Drama, Musical            ",http://www.imdb.com/title/tt0055614/?ref_=adv_li_tt,"93,282",,
,,,,,,,
E.T. the Extra-Terrestrial,1982,7.8,"
Family, Sci-Fi            ",http://www.imdb.com/title/tt0083866/?ref_=adv_li_tt,"358,042",,
,,,,,,,
Vice,2018,7.2,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt6266538/?ref_=adv_li_tt,"108,915",,
,,,,,,,
The Exorcist,1973,8,"
Horror            ",http://www.imdb.com/title/tt0070047/?ref_=adv_li_tt,"350,969",,
,,,,,,,
Hidden Figures,2016,7.8,"
Biography, Drama, History            ",http://www.imdb.com/title/tt4846340/?ref_=adv_li_tt,"189,563",,
,,,,,,,
Brokeback Mountain,2005,7.7,"
Drama, Romance            ",http://www.imdb.com/title/tt0388795/?ref_=adv_li_tt,"314,044",,
,,,,,,,
Zero Dark Thirty,2012,7.4,"
Drama, History, Thriller            ",http://www.imdb.com/title/tt1790885/?ref_=adv_li_tt,"263,484",,
,,,,,,,
A Streetcar Named Desire,1951,8,"
Drama            ",http://www.imdb.com/title/tt0044081/?ref_=adv_li_tt,"96,069",,
,,,,,,,
Lion,2016,8,"
Biography, Drama            ",http://www.imdb.com/title/tt3741834/?ref_=adv_li_tt,"202,898",,
,,,,,,,
Toy Story 3,2010,8.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt0435761/?ref_=adv_li_tt,"732,290",,
,,,,,,,
American Hustle,2013,7.2,"
Crime, Drama            ",http://www.imdb.com/title/tt1800241/?ref_=adv_li_tt,"436,952",,
,,,,,,,
Lost in Translation,2003,7.7,"
Comedy, Drama            ",http://www.imdb.com/title/tt0335266/?ref_=adv_li_tt,"396,937",,
,,,,,,,
Mary Poppins,1964,7.8,"
Comedy, Family, Fantasy            ",http://www.imdb.com/title/tt0058331/?ref_=adv_li_tt,"152,623",,
,,,,,,,
The King's Speech,2010,8,"
Biography, Drama, History            ",http://www.imdb.com/title/tt1504320/?ref_=adv_li_tt,"622,968",,
,,,,,,,
Argo,2012,7.7,"
Biography, Drama, Thriller            ",http://www.imdb.com/title/tt1024648/?ref_=adv_li_tt,"558,817",,
,,,,,,,
American Graffiti,1973,7.4,"
Comedy, Drama            ",http://www.imdb.com/title/tt0069704/?ref_=adv_li_tt,"78,908",,
,,,,,,,
Dead Poets Society,1989,8.1,"
Comedy, Drama            ",http://www.imdb.com/title/tt0097165/?ref_=adv_li_tt,"404,538",,
,,,,,,,
Rocky,1976,8.1,"
Drama, Sport            ",http://www.imdb.com/title/tt0075148/?ref_=adv_li_tt,"500,877",,
,,,,,,,
Gangs of New York,2002,7.5,"
Crime, Drama            ",http://www.imdb.com/title/tt0217505/?ref_=adv_li_tt,"392,810",,
,,,,,,,
True Grit,2010,7.6,"
Drama, Western            ",http://www.imdb.com/title/tt1403865/?ref_=adv_li_tt,"300,807",,
,,,,,,,
Hell or High Water,2016,7.6,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt2582782/?ref_=adv_li_tt,"194,576",,
,,,,,,,
Manchester by the Sea,2016,7.8,"
Drama            ",http://www.imdb.com/title/tt4034228/?ref_=adv_li_tt,"234,599",,
,,,,,,,
Million Dollar Baby,2004,8.1,"
Drama, Sport            ",http://www.imdb.com/title/tt0405159/?ref_=adv_li_tt,"616,657",,
,,,,,,,
Up,2009,8.2,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt1049413/?ref_=adv_li_tt,"901,501",,
,,,,,,,
District 9,2009,7.9,"
Action, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt1136608/?ref_=adv_li_tt,"626,324",,
,,,,,,,
L.A. Confidential,1997,8.2,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0119488/?ref_=adv_li_tt,"516,675",,
,,,,,,,
"Hello, Dolly!",1969,7.1,"
Adventure, Comedy, Musical            ",http://www.imdb.com/title/tt0064418/?ref_=adv_li_tt,"13,000",,
,,,,,,,
Crash,2004,7.8,"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0375679/?ref_=adv_li_tt,"412,729",,
,,,,,,,
Midnight in Paris,2011,7.7,"
Comedy, Fantasy, Romance            ",http://www.imdb.com/title/tt1605783/?ref_=adv_li_tt,"374,687",,
,,,,,,,
Chinatown,1974,8.2,"
Drama, Mystery, Thriller            ",http://www.imdb.com/title/tt0071315/?ref_=adv_li_tt,"282,823",,
,,,,,,,
Chicago,2002,7.1,"
Comedy, Crime, Musical            ",http://www.imdb.com/title/tt0299658/?ref_=adv_li_tt,"210,645",,
,,,,,,,
Amadeus,1984,8.3,"
Biography, Drama, History            ",http://www.imdb.com/title/tt0086879/?ref_=adv_li_tt,"357,144",,
,,,,,,,
Little Miss Sunshine,2006,7.8,"
Comedy, Drama            ",http://www.imdb.com/title/tt0449059/?ref_=adv_li_tt,"427,752",,
,,,,,,,
A Few Good Men,1992,7.7,"
Drama, Thriller            ",http://www.imdb.com/title/tt0104257/?ref_=adv_li_tt,"226,466",,
,,,,,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"
Comedy            ",http://www.imdb.com/title/tt0057012/?ref_=adv_li_tt,"436,452",,
,,,,,,,
Dallas Buyers Club,2013,8,"
Biography, Drama            ",http://www.imdb.com/title/tt0790636/?ref_=adv_li_tt,"425,263",,
,,,,,,,
Lawrence of Arabia,1962,8.3,"
Adventure, Biography, Drama            ",http://www.imdb.com/title/tt0056172/?ref_=adv_li_tt,"258,002",,
,,,,,,,
Gravity,2013,7.7,"
Drama, Sci-Fi, Thriller            ",http://www.imdb.com/title/tt1454468/?ref_=adv_li_tt,"748,933",,
,,,,,,,
Dances with Wolves,1990,8,"
Adventure, Drama, Western            ",http://www.imdb.com/title/tt0099348/?ref_=adv_li_tt,"232,679",,
,,,,,,,
Phantom Thread,2017,7.5,"
Drama, Romance            ",http://www.imdb.com/title/tt5776858/?ref_=adv_li_tt,"103,449",,
,,,,,,,
Roma,2018,7.7,"
Drama            ",http://www.imdb.com/title/tt6155172/?ref_=adv_li_tt,"131,284",,
,,,,,,,
Hugo,2011,7.5,"
Drama, Family, Fantasy            ",http://www.imdb.com/title/tt0970179/?ref_=adv_li_tt,"297,005",,
,,,,,,,
Jerry Maguire,1996,7.3,"
Comedy, Drama, Romance            ",http://www.imdb.com/title/tt0116695/?ref_=adv_li_tt,"234,305",,
,,,,,,,
Great Expectations,1946,7.8,"
Adventure, Drama, Mystery            ",http://www.imdb.com/title/tt0038574/?ref_=adv_li_tt,"21,309",,
,,,,,,,
Scent of a Woman,1992,8,"
Drama            ",http://www.imdb.com/title/tt0105323/?ref_=adv_li_tt,"248,447",,
,,,,,,,
The Fighter,2010,7.8,"
Biography, Drama, Sport            ",http://www.imdb.com/title/tt0964517/?ref_=adv_li_tt,"331,067",,
,,,,,,,
The Blind Side,2009,7.6,"
Biography, Drama, Sport            ",http://www.imdb.com/title/tt0878804/?ref_=adv_li_tt,"282,537",,
,,,,,,,
The Hurt Locker,2008,7.6,"
Drama, Thriller, War            ",http://www.imdb.com/title/tt0887912/?ref_=adv_li_tt,"410,664",,
,,,,,,,
Moulin Rouge!,2001,7.6,"
Drama, Musical, Romance            ",http://www.imdb.com/title/tt0203009/?ref_=adv_li_tt,"260,990",,
,,,,,,,
The Theory of Everything,2014,7.7,"
Biography, Drama, Romance            ",http://www.imdb.com/title/tt2980516/?ref_=adv_li_tt,"385,800",,
,,,,,,,
The Tree of Life,2011,6.8,"
Drama, Fantasy            ",http://www.imdb.com/title/tt0478304/?ref_=adv_li_tt,"163,883",,
,,,,,,,
Sergeant York,1941,7.7,"
Biography, Drama, History            ",http://www.imdb.com/title/tt0034167/?ref_=adv_li_tt,"14,823",,
,,,,,,,
As Good as It Gets,1997,7.7,"
Comedy, Drama, Romance            ",http://www.imdb.com/title/tt0119822/?ref_=adv_li_tt,"267,437",,
,,,,,,,
The Aviator,2004,7.5,"
Biography, Drama            ",http://www.imdb.com/title/tt0338751/?ref_=adv_li_tt,"324,065",,
,,,,,,,
The Graduate,1967,8,"
Comedy, Drama, Romance            ",http://www.imdb.com/title/tt0061722/?ref_=adv_li_tt,"247,792",,
,,,,,,,
Lincoln,2012,7.3,"
Biography, Drama, History            ",http://www.imdb.com/title/tt0443272/?ref_=adv_li_tt,"238,345",,
,,,,,,,
Life of Pi,2012,7.9,"
Adventure, Drama, Fantasy            ",http://www.imdb.com/title/tt0454876/?ref_=adv_li_tt,"565,159",,
,,,,,,,
Sense and Sensibility,1995,7.6,"
Drama, Romance            ",http://www.imdb.com/title/tt0114388/?ref_=adv_li_tt,"98,232",,
,,,,,,,
Beauty and the Beast,1991,8,"
Animation, Family, Fantasy            ",http://www.imdb.com/title/tt0101414/?ref_=adv_li_tt,"407,587",,
,,,,,,,
Elizabeth,1998,7.4,"
Biography, Drama, History            ",http://www.imdb.com/title/tt0127536/?ref_=adv_li_tt,"90,269",,
,,,,,,,
The Fugitive,1993,7.8,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0106977/?ref_=adv_li_tt,"258,983",,
,,,,,,,
Juno,2007,7.4,"
Comedy, Drama            ",http://www.imdb.com/title/tt0467406/?ref_=adv_li_tt,"480,715",,
,,,,,,,
Michael Clayton,2007,7.2,"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0465538/?ref_=adv_li_tt,"152,993",,
,,,,,,,
The Bridge on the River Kwai,1957,8.1,"
Adventure, Drama, War            ",http://www.imdb.com/title/tt0050212/?ref_=adv_li_tt,"196,448",,
,,,,,,,
The English Patient,1996,7.4,"
Drama, Romance, War            ",http://www.imdb.com/title/tt0116209/?ref_=adv_li_tt,"173,881",,
,,,,,,,
The Thin Red Line,1998,7.6,"
Drama, War            ",http://www.imdb.com/title/tt0120863/?ref_=adv_li_tt,"167,666",,
,,,,,,,
Raging Bull,1980,8.2,"
Biography, Drama, Sport            ",http://www.imdb.com/title/tt0081398/?ref_=adv_li_tt,"309,829",,
,,,,,,,
Boyhood,2014,7.9,"
Drama            ",http://www.imdb.com/title/tt1065073/?ref_=adv_li_tt,"328,244",,
,,,,,,,
It's a Wonderful Life,1946,8.6,"
Drama, Family, Fantasy            ",http://www.imdb.com/title/tt0038650/?ref_=adv_li_tt,"383,824",,
,,,,,,,
The Descendants,2011,7.3,"
Comedy, Drama            ",http://www.imdb.com/title/tt1033575/?ref_=adv_li_tt,"228,868",,
,,,,,,,
The Elephant Man,1980,8.1,"
Biography, Drama            ",http://www.imdb.com/title/tt0080678/?ref_=adv_li_tt,"211,758",,
,,,,,,,
The Reader,2008,7.6,"
Drama, Romance            ",http://www.imdb.com/title/tt0976051/?ref_=adv_li_tt,"225,723",,
,,,,,,,
Deliverance,1972,7.7,"
Adventure, Drama, Thriller            ",http://www.imdb.com/title/tt0068473/?ref_=adv_li_tt,"95,648",,
,,,,,,,
Ghost,1990,7,"
Drama, Fantasy, Romance            ",http://www.imdb.com/title/tt0099653/?ref_=adv_li_tt,"189,958",,
,,,,,,,
Barry Lyndon,1975,8.1,"
Adventure, Drama, History            ",http://www.imdb.com/title/tt0072684/?ref_=adv_li_tt,"142,908",,
,,,,,,,
Brooklyn,2015,7.5,"
Drama, Romance            ",http://www.imdb.com/title/tt2381111/?ref_=adv_li_tt,"126,083",,
,,,,,,,
Gosford Park,2001,7.2,"
Comedy, Drama, Mystery            ",http://www.imdb.com/title/tt0280707/?ref_=adv_li_tt,"77,948",,
,,,,,,,
Midnight Cowboy,1969,7.8,"
Drama            ",http://www.imdb.com/title/tt0064665/?ref_=adv_li_tt,"97,319",,
,,,,,,,
Up in the Air,2009,7.4,"
Comedy, Drama, Romance            ",http://www.imdb.com/title/tt1193138/?ref_=adv_li_tt,"311,910",,
,,,,,,,
To Kill a Mockingbird,1962,8.2,"
Crime, Drama            ",http://www.imdb.com/title/tt0056592/?ref_=adv_li_tt,"286,107",,
,,,,,,,
The Conversation,1974,7.8,"
Drama, Mystery, Thriller            ",http://www.imdb.com/title/tt0071360/?ref_=adv_li_tt,"94,048",,
,,,,,,,
Rain Man,1988,8,"
Drama            ",http://www.imdb.com/title/tt0095953/?ref_=adv_li_tt,"460,931",,
,,,,,,,
Funny Girl,1968,7.4,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt0062994/?ref_=adv_li_tt,"18,461",,
,,,,,,,
